id,a00,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,a11,a12,a13,a14,a15,a16,a17
8181-59,510.0,-102.21,13.691728,-1.995896,7.450189,-32.583679,-11.385078,-1.83282,5.058054,-22.827007,-13.039058,-5.943676,4.0,-10.918572,6.0,665.0,,-9.83473
7003-58,543.0,-58.33,,-4.086078,35.662039,-16.96163,4.304399,-1.280856,3.610543,-6.541555,-10.363284,3.73358,4.0,-5.281975,6.0,740.0,-17.079323,-23.26206
8747-13,636.0,18.49,13.001478,0.77528,-42.793522,24.492023,-10.484932,-1.517119,-39.45591,2.026431,-14.009052,-20.143117,4.0,3.027231,8.0,369.0,27.716921,-4.175014
1036-58,549.0,128.84,13.375696,-11.908488,-40.950629,-8.791379,-10.347061,,-41.563609,-8.879643,-17.026038,-3.875464,5.0,-3.234515,4.0,598.0,43.37837,-11.284927
6205-73,427.0,-97.45,14.502462,-11.561666,15.833394,9.476253,-14.794973,-1.695999,3.610581,-19.892304,-10.980879,-10.861461,4.0,-5.701551,4.0,666.0,-2.673737,-8.393648
9523-20,516.0,-35.11,13.827006,-12.302147,49.457466,-0.977925,-43.502495,-1.706023,-13.936122,-22.160076,-13.757607,-6.698512,4.0,-6.931922,6.0,654.0,-8.739302,-5.749077
3833-39,612.0,-12.37,14.226312,6.751264,6.050489,38.089135,-17.085216,-1.546816,33.030833,-31.677786,-8.175434,-20.758311,3.0,-5.501079,4.0,765.0,-25.419689,-14.249271
3800-51,621.0,-32.69,14.365138,-4.912405,-7.350947,-42.798861,-20.02953,-1.490586,11.363373,-19.037034,-13.393117,-3.525414,4.0,-2.899477,5.0,657.0,-9.540733,-10.240438
2353-25,576.0,-76.42,12.99227,-20.992637,-38.554463,5.791948,26.686905,-1.521977,36.679056,11.148755,-16.061008,-1.456624,5.0,0.575443,6.0,735.0,-37.551759,-3.387803
1906-97,590.0,50.84,12.74688,-3.536,-2.500239,40.218604,9.334709,-1.331405,13.324344,-5.987019,-10.988955,-3.848958,4.0,-5.816317,6.0,848.0,-32.513255,-8.641676
2173-63,683.0,42.6,14.510861,-11.278582,-40.339745,29.126563,5.136407,-1.140875,-15.105202,-26.943361,-11.044761,-12.964703,6.0,-15.633841,5.0,861.0,-13.795069,-5.043801
3153-87,649.0,-8.48,13.618077,-7.228417,55.441554,-10.279523,-7.285699,-1.684157,34.58646,-23.94185,-13.300497,-6.73388,5.0,-9.427061,5.0,408.0,-75.50389,3.606759
1260-3,469.0,10.9,13.587914,-7.338585,-34.925686,-33.559627,-9.440882,-1.185416,-13.99521,-29.554045,-16.502214,5.060197,5.0,-13.595253,5.0,966.0,45.31253,-15.438191
4026-68,748.0,44.23,13.911203,-13.292259,-5.842499,-8.683403,-1.50525,-1.286663,5.211367,1.571619,-10.158615,-5.377185,6.0,0.540929,6.0,760.0,3.484766,-0.211179
9008-38,558.0,55.11,14.066047,-9.811252,-30.668564,9.495645,-13.053259,-1.513967,-20.231534,-37.273592,-7.808324,,5.0,-6.480608,4.0,350.0,33.554522,-4.349947
8064-1,689.0,-80.93,12.535314,-15.012716,4.324852,-11.201153,-2.684718,-0.885103,35.902225,-19.175928,-8.358759,-12.296122,5.0,-3.812509,6.0,633.0,-28.198227,6.832365
3591-78,568.0,-104.32,13.966758,-11.521278,-11.934843,39.732815,-38.541648,-0.782127,-5.67997,-12.524245,-11.55773,10.559629,4.0,-19.483004,5.0,981.0,21.944481,-5.050618
1887-66,608.0,-130.54,13.363011,1.060339,16.476592,-3.516193,-37.765237,-1.421768,14.300589,17.87428,-12.868949,-1.506213,5.0,-3.032589,2.0,661.0,-86.094657,-3.309995
5225-81,436.0,-2.94,13.864317,-12.693861,-41.783291,0.37816,-18.796574,-1.438241,27.068733,-10.884043,-11.931294,-11.359454,4.0,-0.411629,4.0,1026.0,2.795261,-11.920345
3286-84,804.0,33.15,13.037199,-6.455081,-49.718964,6.836515,15.011551,-1.592405,-4.956188,0.546621,-16.545825,-11.061481,4.0,-6.127447,6.0,737.0,-10.430005,0.968443
6140-78,736.0,23.46,14.182487,-14.708852,-17.519556,9.494412,0.857276,-1.721164,-10.608107,-1.155182,-6.665934,-13.663204,6.0,-19.772409,3.0,892.0,-62.715835,-12.470691
4025-56,615.0,-26.44,14.669439,-1.194837,-5.376127,22.532285,-3.915613,-1.389881,3.563127,-22.876622,-9.332884,-23.547288,4.0,-16.440165,4.0,972.0,41.277128,3.593233
4934-33,421.0,-0.41,12.637572,-0.414168,-10.362053,25.271283,-15.261175,-1.471418,-36.855869,-13.335338,-13.144796,24.16486,4.0,-8.949263,3.0,735.0,5.136737,-19.983051
5936-59,784.0,4.2,13.538357,8.713681,-26.570069,42.883135,-30.478003,-1.444836,16.841371,12.479468,-8.586427,-13.09265,6.0,-12.93582,8.0,731.0,-35.632495,6.720642
9592-39,706.0,9.87,13.504578,-4.214112,-22.489764,-10.623799,4.442238,-1.668033,-0.243805,14.218572,-11.221658,-13.575559,6.0,-7.541124,6.0,550.0,15.873624,-15.332659
3003-39,656.0,8.64,14.345018,-1.561371,-29.199922,1.373573,8.113163,-1.709868,29.528967,-6.285487,-11.312457,-7.451406,7.0,-16.672054,5.0,785.0,-53.430667,-2.111006
5521-64,262.0,-13.2,13.779325,-13.709565,-14.297514,22.529348,-22.127248,-1.321842,-22.902709,-24.485208,-10.746146,-2.389432,6.0,-17.966019,4.0,692.0,-22.20871,2.770669
2071-31,579.0,-17.16,13.453554,-2.092712,-62.120198,-10.827596,5.257636,-1.051933,-6.952358,-28.967082,-13.501846,-20.3811,6.0,-6.654112,6.0,1054.0,-24.513177,-9.898807
2178-62,639.0,37.39,14.405069,-18.782414,-50.434629,65.714749,3.598908,-1.314961,17.179931,-0.129014,-7.294098,-12.109949,4.0,-11.6571,5.0,568.0,-3.78638,-6.177887
3854-15,630.0,-26.31,15.393363,-12.814363,-37.045344,2.793392,-16.154591,-1.368699,-8.504263,-8.249857,-8.000531,4.456604,5.0,-3.096122,6.0,412.0,-5.966959,-3.042471
6760-4,598.0,-43.25,14.068313,-12.182069,-29.491086,-6.381011,-30.039428,-1.100332,14.019817,-3.338383,-12.994296,-0.455078,5.0,-24.046759,5.0,955.0,1.398741,-5.106662
7781-0,842.0,126.61,13.131179,-16.01436,-0.804009,31.784809,-10.506617,-1.311981,11.655274,-16.880809,-10.364678,-6.07767,4.0,-8.051085,5.0,927.0,17.895148,-0.126759
9303-35,597.0,12.55,14.529139,-13.39057,-17.407769,1.486441,2.09327,-2.002483,27.359626,-12.096594,-11.029016,-6.284828,4.0,-7.905494,6.0,906.0,25.412869,-1.41852
5693-87,414.0,-119.16,12.674109,-10.631217,28.303615,17.787082,-14.792461,-1.497835,-15.603976,-1.663183,-7.277146,4.001051,4.0,-10.352292,6.0,851.0,-9.296488,8.706188
3413-24,494.0,-69.25,13.569997,0.52663,-13.637254,-47.128078,-16.188382,-0.897632,-1.289005,-28.423178,-12.541636,-10.546835,4.0,-3.319714,4.0,982.0,-36.345379,1.754033
7837-29,440.0,-74.86,13.725796,-7.262488,-29.327182,-15.591332,-13.409715,-1.351463,16.987726,-14.76663,-14.511684,1.817886,5.0,2.299389,5.0,977.0,23.618557,-16.139394
7072-86,739.0,12.89,13.362209,0.486794,-22.119135,-13.44317,-17.93753,-1.078402,-52.565253,-3.319582,-9.245947,-2.576947,5.0,-7.385499,5.0,772.0,-2.690007,-2.568555
4034-85,674.0,13.23,14.04942,-9.461804,-7.691238,9.554202,-6.3531,-1.791338,10.50435,-1.61773,-11.147348,-4.639125,5.0,-4.261159,7.0,1081.0,40.100309,8.397249
6029-06,744.0,91.84,12.348057,-6.225158,3.320205,23.940073,-6.017258,-1.288967,-18.976513,-17.084759,-12.691171,-10.783777,4.0,-9.826941,7.0,607.0,9.573357,-1.435162
2785-2,518.0,30.39,13.585846,-0.372591,-28.093474,-15.156489,-18.655348,-1.789839,-18.357805,-1.526672,-11.848052,3.254611,5.0,-6.522165,5.0,634.0,22.015585,-5.616716
4733-24,713.0,30.49,13.608694,-13.873308,28.704431,-6.219837,-39.643503,-1.767763,43.340413,-20.670705,-8.499277,-6.242635,5.0,-13.346613,6.0,682.0,-25.307541,-7.176627
7750-64,526.0,-54.46,13.489466,-6.874926,-22.054129,12.952602,-10.029928,-1.147773,-19.239239,-29.213904,-13.702016,-1.116973,4.0,-22.633963,4.0,717.0,,-0.836613
5225-15,765.0,77.26,13.084431,-9.308967,-40.731401,20.65851,-11.223053,-1.653233,-6.062425,-2.758889,-12.228061,10.334021,4.0,-11.813793,5.0,779.0,7.80254,-0.047065
5830-43,388.0,-45.94,14.046945,-7.444778,34.038463,16.275211,0.74967,-1.712599,-19.055298,-27.632403,-7.824844,12.606502,4.0,-11.169782,5.0,606.0,-20.084739,7.641168
8166-13,522.0,44.96,13.869231,-5.683396,14.966704,43.412067,7.895412,-1.470867,4.666494,-12.757195,-12.113771,-17.529308,5.0,-11.674959,4.0,565.0,2.892921,-2.804962
6764-74,740.0,-10.79,13.633125,-6.831431,-24.360242,-9.029897,-0.578787,-1.430044,7.311889,-6.100035,-8.646851,0.448318,4.0,-15.787973,5.0,877.0,41.519744,-5.303016
2437-63,718.0,53.69,14.393073,4.693139,-0.95229,-0.074281,-21.764863,-1.26095,18.84883,2.990658,-13.273375,-9.065603,3.0,-5.697688,5.0,742.0,-127.894467,-21.003458
5691-58,521.0,68.77,14.016399,-17.830404,16.342976,16.202791,-20.83441,-1.06085,11.46336,-1.200526,-12.507171,-8.672832,4.0,-0.296199,3.0,1010.0,19.369097,-6.234562
8258-48,644.0,11.16,13.962794,-16.289299,-22.503328,-29.402919,-6.453325,-0.913587,7.925454,-2.246634,-8.713408,-10.631112,6.0,-8.769323,7.0,509.0,-21.972287,0.457274
4624-22,554.0,-38.47,15.183358,-10.775604,-44.730396,8.868552,-1.438092,-1.670086,-7.365879,-7.521234,-15.417306,9.733035,5.0,1.542922,6.0,891.0,4.9676,4.591988
1315-58,624.0,-25.5,13.931478,-6.160725,-40.740804,-5.701603,-20.006199,-1.353111,13.364562,-19.214939,-11.864044,,4.0,-6.78144,6.0,654.0,-37.292482,-3.733484
2340-60,387.0,19.56,14.409448,-14.076516,-51.125101,15.886006,8.997796,-1.181182,-30.811625,-14.563309,-11.052563,-3.302174,5.0,-6.190651,6.0,832.0,48.189566,1.976518
1099-27,607.0,114.25,14.544863,-15.976015,-0.419356,22.560339,-11.402589,-1.681139,-25.428889,11.531719,-9.923375,-7.081553,7.0,-15.817476,6.0,692.0,-5.701434,-4.639276
5546-86,417.0,31.21,14.296205,-10.213488,9.536172,-0.878878,-16.252496,-0.819143,-0.536091,-6.375294,-11.739098,8.140287,3.0,-5.975449,6.0,866.0,-23.713097,-5.436001
2379-59,669.0,3.32,13.752909,6.086066,-0.573549,18.49979,-4.686571,-1.602119,2.87589,7.911343,-11.927693,-7.143477,5.0,-18.012872,5.0,729.0,-18.259934,-7.026701
1071-01,436.0,-2.61,14.002687,-7.980073,-2.250921,-17.261458,-31.660965,-1.580232,-1.487637,-8.989637,-13.466365,21.712411,4.0,-15.030785,4.0,824.0,10.11662,-3.595005
5781-13,463.0,-38.74,14.22941,,-8.731672,7.493779,4.342087,-1.159031,2.32061,-2.619725,-11.644484,-7.125944,4.0,-16.635342,6.0,602.0,-27.022329,2.561782
1182-29,830.0,-46.6,12.624167,-11.464529,45.540093,14.094826,-15.371829,-1.620498,32.612678,34.292741,-10.380509,3.648126,5.0,-9.866657,6.0,583.0,-33.335035,-2.901602
2952-20,594.0,-28.05,14.235549,6.61038,-26.247144,3.10897,-6.573493,-1.878066,17.387575,6.651191,-4.779313,-13.432028,5.0,-12.713802,5.0,687.0,-4.297309,1.112826
9787-,670.0,33.45,13.295528,-15.435985,-42.074694,13.77197,16.829593,-1.53063,3.976822,-12.261413,-10.897205,-4.498902,5.0,-10.36295,8.0,846.0,-18.839007,-8.535203
